Sex,EE,H2Omg,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,FQ,block,hour
F,0.216116956818,0.2689606,0.9916720059313042,1015,19.77363,21.87,Low Fat,21:51:25,0.014,0.0219554,0.0201,0.7149861,0.7090317,2020-08-19,0.92266,cages13aug,21
F,0.19538728704599997,0.6400807,1.031855181615253,1015,21.59872,21.87,Low Fat,22:15:25,0.031,0.0323,0.0238,0.6407529,0.6611642,2020-08-19,0.92266,cages13aug,22
F,0.118504948842,0.7658966,1.0049450736389025,1015,21.57628,21.87,Low Fat,22:39:25,0.0144,0.0226,0.0186,0.3909143,0.3928474,2020-08-19,0.92266,cages13aug,22
F,0.09018706254600001,0.7360805,1.0009363154375512,1015,21.68125,21.87,Low Fat,23:11:25,0.0094,0.0136,0.0183,0.2977629,0.2980417,2020-08-19,0.92266,cages13aug,23
F,0.09653136112199999,0.8369011,0.9820229318310001,1015,21.97355,21.87,Low Fat,23:41:26,0.00999,0.0316,0.0203,0.3200355,0.3142822,2020-08-19,0.92266,cages13aug,23
F,0.11253169061399998,0.8017742,0.9891604583442619,1015,22.01917,21.87,Low Fat,23:49:26,0.012,0.0208941,0.0118,0.3724973,0.3684596,2020-08-19,0.92266,cages13aug,23
F,0.12054427106400001,0.7948274,0.9936324187476764,1015,22.12255,21.87,Low Fat,00:25:26,0.00977,0.017,0.0194,0.3986286,0.3960903,2020-08-20,0.92266,cages13aug,0
F,0.143937413382,0.7817807,1.0030245774549298,1015,22.21117,21.87,Low Fat,00:41:26,0.0286,0.0363612,0.0208,0.4750085,0.4764452,2020-08-20,0.92266,cages13aug,0
F,0.25945194832199997,1.106868,0.9871839949553021,1015,22.2125,21.87,Low Fat,01:21:26,0.0213133,0.0287,0.0165,0.8591991,0.8481876,2020-08-20,0.92266,cages13aug,1
F,0.23818917763199998,1.352423,0.9723444089474632,1015,22.30065,21.87,Low Fat,01:45:26,0.016,0.0221,0.0159,0.7913662,0.7694805,2020-08-20,0.92266,cages13aug,1
F,0.24989383784399996,1.476568,0.9879084831453342,1015,22.21318,21.87,Low Fat,02:09:26,0.014,0.027,0.0216,0.8274148,0.8174101,2020-08-20,0.92266,cages13aug,2
F,0.171022769652,1.674247,0.9958933320690537,1015,22.1594,21.87,Low Fat,02:41:26,0.0149,0.0147,0.0181,0.5652758,0.5629544,2020-08-20,0.92266,cages13aug,2
F,0.25150857387599995,1.645371,0.9619463690646047,1015,22.2297,21.87,Low Fat,03:11:27,0.0135,0.0244,0.0235281,0.837539,0.8056676,2020-08-20,0.92266,cages13aug,3
F,0.242184302976,1.602879,0.9384599311061284,1015,22.25737,21.87,Low Fat,03:19:27,0.0188,0.0268,0.0201124,0.8106962,0.7608059,2020-08-20,0.92266,cages13aug,3
